target_order,plugin,prefix,candidate_folders,in_downloaded_archive,in_mv_loadorder,in_nolvus_plugins,in_mv_install,in_nolvus_install
2351,Madmen - Simonrim.esp,Madmen,Madmen - Cloaks of Skyrim Patch (keep); Madmen - Dibella's Blessing Patch (keep); Madmen - EEC - Modpocalypse Patch (keep),,,,,
2352,maerchenwald - the archwood lite.esp,maerchenwald,,Maerchenwald - Archwood Lite - Giant Fantasy Trees-150187-1-21a-1747657464.rar,,,,
2354,NotWL - Autumn Rift.esp,NotWL,A Meeko's Shack Overhaul Fixes - NOTWL Patch (keep); Nature's Respite Fixes - NOTWL Patch (keep),,,,,
2355,Blubbo_Trees_Variations_Nexus_noVanillaTrees.esp,Blubbo,LOTDV6 - Blubbos Solitude - Tree Patch (download); Blubbos_Whiterun_2023V2esl_patch (download),,,,,
2357,Nature of the Wild Lands - CC Bittercup patch.esp,Nature of the Wild Lands,Dynamic Wind - Nature Of The Wild Lands Patch (download); Orc Exiles - Bilegulch Stronghold - Nature of The Wild Lands Patch (keep); Double Life - Anises Cabin Overhaul - Nature of the Wild Lands Patch (keep),,yes,,Psychopatchist Purgatory,
2358,Nature of the Wild Lands - CC Myrwatch patch.esp,Nature of the Wild Lands,Dynamic Wind - Nature Of The Wild Lands Patch (download); Orc Exiles - Bilegulch Stronghold - Nature of The Wild Lands Patch (keep); Double Life - Anises Cabin Overhaul - Nature of the Wild Lands Patch (keep),,yes,,Psychopatchist Purgatory,
2359,Nature of the Wild Lands - CC Tundra Homestead patch.esp,Nature of the Wild Lands,Dynamic Wind - Nature Of The Wild Lands Patch (download); Orc Exiles - Bilegulch Stronghold - Nature of The Wild Lands Patch (keep); Double Life - Anises Cabin Overhaul - Nature of the Wild Lands Patch (keep),,yes,,Psychopatchist Purgatory,
2360,Nature of the Wild Lands - Ryn's Ustengrav Patch.esp,Nature of the Wild Lands,Dynamic Wind - Nature Of The Wild Lands Patch (download); Orc Exiles - Bilegulch Stronghold - Nature of The Wild Lands Patch (keep); Double Life - Anises Cabin Overhaul - Nature of the Wild Lands Patch (keep),Tiny Patch Hub-62050-2-5-1-1771141620.7z,yes,,Tiny but Useful - Yet Another Patch Hub,
2361,Project ja-Kha'jay - Lawless - Patch.esp,Project ja-Kha'jay,Project ja-Kha'jay - Patch Collection (keep); Project ja-Kha'jay - Moonpath to Elsweyr Pattch - Eyeglow Patch (keep); Project ja-Kha'jay - Moonpath to Elsweyr Patch - Unofficial Patch (keep),,yes,,Project ja-Kha'jay - Patch Collection,
2362,SkyHUD.esp,SkyHUD,,,yes,,SkyHUD,
2363,SMIM - USSEP patch.esp,SMIM,Whiterun Objects SMIMed (and fixes too) (keep); Weathered Barrels Retexture - SMIM Barrel Extension Patch (keep); The Great Town and Village - SMIM Patch (keep),,yes,,Psychopatchist Purgatory,
2364,SurvivalControlPanel.esp,SurvivalControlPanel,,,yes,,Survival Control Panel,
2365,TheChoiceIsYours - GDO - RDO.esp,TheChoiceIsYours,BTS01Margot - The Choice Is Yours DBVO Patch (download); Wintersun - The Choice is Yours Patch (keep); The Choice is Yours - Cutting Room Floor Patch (keep),,,,,
2366,TSOS_Armor_Vilkas.esp,TSOS,,,,,,
2367,TSOS_Sven_Lute.esp,TSOS,,,,,,
2368,TSOSRefinedCreationClub.esp,TSOSRefinedCreationClub,,,yes,,True Sons Of Skyrim Refined,
2369,Landscape and Water Fixes - CC Fishing patch.esp,Landscape and Water Fixes,Northern Roads - Landscape and Water Fixes patch (keep); Nature of the Wild Lands - Skyrim Landscape and Water Fixes Patch (keep); Skyrim Landscape and Water Fixes - Moon and Star (keep),,yes,,Skyrim Landscape and Water Fixes,
2371,Landscape and Water Fixes - Patch - Alternative Armors - Elven Hunter.esp,Landscape and Water Fixes,Northern Roads - Landscape and Water Fixes patch (keep); Nature of the Wild Lands - Skyrim Landscape and Water Fixes Patch (keep); Skyrim Landscape and Water Fixes - Moon and Star (keep),,yes,,Skyrim Landscape and Water Fixes,
2372,Landscape and Water Fixes - Patch - Farming.esp,Landscape and Water Fixes,Northern Roads - Landscape and Water Fixes patch (keep); Nature of the Wild Lands - Skyrim Landscape and Water Fixes Patch (keep); Skyrim Landscape and Water Fixes - Moon and Star (keep),,yes,,Skyrim Landscape and Water Fixes,
2375,Landscape and Water Fixes - Patch - Myrwatch.esp,Landscape and Water Fixes,Northern Roads - Landscape and Water Fixes patch (keep); Nature of the Wild Lands - Skyrim Landscape and Water Fixes Patch (keep); Skyrim Landscape and Water Fixes - Moon and Star (keep),,yes,,Skyrim Landscape and Water Fixes,
2376,Landscape and Water Fixes - Patch - Tundra Homestead.esp,Landscape and Water Fixes,Northern Roads - Landscape and Water Fixes patch (keep); Nature of the Wild Lands - Skyrim Landscape and Water Fixes Patch (keep); Skyrim Landscape and Water Fixes - Moon and Star (keep),,yes,,Skyrim Landscape and Water Fixes,
2378,Landscape and Water Fixes - Patch - Vigil Enforcer Armor Set.esp,Landscape and Water Fixes,Northern Roads - Landscape and Water Fixes patch (keep); Nature of the Wild Lands - Skyrim Landscape and Water Fixes Patch (keep); Skyrim Landscape and Water Fixes - Moon and Star (keep),,yes,,Skyrim Landscape and Water Fixes,
2380,Great Village of Old Hroldan Watertowers patch.esp,Great Village of Old Hroldan Watertowers patch,,,,,,
2383,Moon and Star Watertower Addon.esp,Moon and Star Watertower Addon,,,,,,
2386,Nature of the Wild Lands - Bruma.esp,Nature of the Wild Lands,Dynamic Wind - Nature Of The Wild Lands Patch (download); Orc Exiles - Bilegulch Stronghold - Nature of The Wild Lands Patch (keep); Double Life - Anises Cabin Overhaul - Nature of the Wild Lands Patch (keep),,,,,
2387,Nature of the Wild Lands - CuttingRoomFloor.esp,Nature of the Wild Lands,Dynamic Wind - Nature Of The Wild Lands Patch (download); Orc Exiles - Bilegulch Stronghold - Nature of The Wild Lands Patch (keep); Double Life - Anises Cabin Overhaul - Nature of the Wild Lands Patch (keep),,,,,
2388,Nature of the Wild Lands - Shrine of Hircine Patch.esp,Nature of the Wild Lands,Dynamic Wind - Nature Of The Wild Lands Patch (download); Orc Exiles - Bilegulch Stronghold - Nature of The Wild Lands Patch (keep); Double Life - Anises Cabin Overhaul - Nature of the Wild Lands Patch (keep),,,,,
2403,GreenThumbSolitude.esp,GreenThumbSolitude,,,,,,
2437,Myrwatch - TnE - USCCP Merged.esp,Myrwatch,Lux - Myrwatch Mesh Patch (keep); Myrwatch - TnE - MyrwatchVaultFix - USCCCP Patch (download); Myrwatch - TnE - CC Fishing Patch (download),,,,,
2458,Fortified Morthal - AI Overhaul Patch.esp,Fortified Morthal,Diverse Chicken Coops - Fortified Morthal Patch (keep); Fortified Morthal - Patches Collection2 (keep),,,,,
2459,Fortified Morthal - eFPS Patch.esp,Fortified Morthal,Diverse Chicken Coops - Fortified Morthal Patch (keep); Fortified Morthal - Patches Collection2 (keep),,,,,
