folder,target_line,category,nexus_mod_id,nexus_mod_name,nexus_author,match_method,confidence,suggested_file_id,suggested_file_name,suggested_file_version,file_category,related_plugins,notes
dbvo_jinx_sda_patch,339,nexus_found,124428,Jinx DBVO Voice Pack,edhironAsdhuriel,name_exact,high,621140,dbvo_jinx_sda_patch,1.0,ARCHIVED,,mod flagged adult content | folder matches the file name | suggested file only exists as ARCHIVED; current MAIN: dbvoJINX v1.5 (#584879)
dbvo_jinx_vigilant,340,nexus_found,124428,Jinx DBVO Voice Pack,edhironAsdhuriel,name_exact,high,667671,dbvo_jinx_vigilant,1.0,OPTIONAL,,mod flagged adult content | folder matches the file name
dbvo_jinx_quest_exp_patch,341,nexus_found,124428,Jinx DBVO Voice Pack,edhironAsdhuriel,name_exact,high,611907,dbvo_jinx_quest_exp_patch,1.0,OPTIONAL,,mod flagged adult content | folder matches the file name
dbvo_jinx_lotd_patch,342,nexus_found,124428,Jinx DBVO Voice Pack,edhironAsdhuriel,name_exact,high,584886,dbvo_jinx_lotd_patch,1.5,OPTIONAL,,mod flagged adult content | folder matches the file name
Jinx DBVO Voice Pack,343,nexus_found,124428,Jinx DBVO Voice Pack,edhironAsdhuriel,name_exact,high,584879,dbvoJINX,1.5,MAIN,,mod flagged adult content | no file name matches the folder; the only current MAIN file is suggested
DBVO Vampira,344,nexus_found,163621,DBVO Vampira,AuctorLucan,name_exact,high,779517,DBVO Vampira FOMOD,2026-07-20-HotFix,MAIN,,no file name matches the folder; the only current MAIN file is suggested
PC Head Tracking and Voice Type SE,345,nexus_found,11993,PC Head Tracking and Voice Type SE,HHaleyy (uploader Tooneyman),name_exact,high,223187,PC Head Tracking - MCM v4.8 SE,v4.8,MAIN,PC Head Tracking - MCM.esp;PC Head Tracking - Patch.esp,"no file name matches the folder; the only current MAIN file is suggested | alternatives: Nero PC Head Tracking and Voice Type (#92124, s=0.92, dl=717); Dante PC Head Tracking and Voice Type (#91837, s=0.92, dl=1243)"
Helmet Toggle 2 NEW2,348,nexus_found,100617,Helmet Toggle 2,GiraPomba,name_exact,high,802153,Helmet Toggle 2,3.6.3,MAIN,Helmet Toggle 2.esp,linked plugin(s) found in this mod's files: Helmet Toggle 2.esp | match after dropping version/edition tokens | folder matches the file name
Detailed Landscapes - Animated Ships Replacer,398,nexus_found,172876,Detailed Landscapes - Animated Ships Replacer,BecomingNplus1,name_exact,high,724567,Detailed Landscapes - Animated Ships Replacer,1.3,MAIN,,folder matches the file name
Immersive Weapon Switch,422,nexus_found,139762,Immersive Weapon Switch - SKSE plugin,RavenKZP with QTR Modding,name_exact,high,653798,Immersive Weapon Switch,3.3.4,MAIN,,folder matches the file name
SkyPrompt - Edge UI Patch,424,nexus_found,148703,SkyPrompt,Quantumyilmaz,name_exact,high,673269,Edge UI Patch,2.4.0,OPTIONAL,,folder matches '<mod name> <file name>'
Timescale 10,426,nexus_found,1053,Timescale,DaniWesNL,name_exact,high,1017,Timescale 10,1.1,MAIN,timescale10.esp,folder matches the file name
horseAnimations2,428,nexus_ambiguous,111767,Dynamic Horse Petting Animations for Immersive Interactions,TheCyclist,name_fuzzy,low,514727,Dynamic Horse Petting Animations,1.11,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Phantom Horse,429,nexus_found,135906,Phantom Horse,Smooth (uploader lSmoothl),name_exact,high,573475,Phantom Horse,2.0,MAIN,Phantom Horse.esp,linked plugin(s) found in this mod's files: Phantom Horse.esp | folder matches the file name
Horsepower Ragdoll - SC Horses Skeleton Patch,431,nexus_found,169335,HorsePower - Modernized Horse Riding (Total Riding Overhaul),Tsptds - Mxnedula - Sphyx,name_exact,high,713889,Horsepower Ragdoll - SC Horses Skeleton Patch,1.0.1,OPTIONAL,Horsepower_Ragdoll - SC Horses Patch.esp,linked plugin(s) found in this mod's files: Horsepower_Ragdoll - SC Horses Patch.esp | folder matches the file name
SC Horses - Glowing Horse Fix,433,nexus_found,169356,SC Horses - Glowing Horse Fix,Lens (uploader 3ncanis),name_exact,high,707782,SC Horses - Glowing Horse Fix,0.1,MAIN,,folder matches the file name
SC Horse Eye Replacer,434,nexus_found,141684,SC Horse Eye Replacer,Miia (uploader walrusmafiaso),name_exact,high,594140,SC Horse Eye Replacer,1.1,MAIN,,folder matches the file name
SC_HorseReplacer_SSE,435,non_nexus,,,,manual_hint,medium,,,,,,SC Horse Replacer (Patreon/non-Nexus)
SC_HorseReplacer,436,non_nexus,,,,manual_hint,medium,,,,,,SC Horse Replacer (Patreon/non-Nexus)
Levitation - a Paraglider add-on Stand-Alone green aura,437,nexus_found,113958,Levitation - a Paraglider add-on Stand-Alone,CultCC ZadeL2P,name_exact,high,480362,Green Aura,1.0,OPTIONAL,,folder matches '<mod name> <file name>'
Levitation - a Paraglider add-on Stand-Alone,438,nexus_found,113958,Levitation - a Paraglider add-on Stand-Alone,CultCC ZadeL2P,name_exact,high,480215,Levitation-Stand-Alone,1.0,MAIN,ParaglidingLevitationAddon.esp,no file name matches the folder; the only current MAIN file is suggested
Improved Camera - First Person Animations,439,nexus_found,159145,Improved Camera - First Person Animations,TwistedModding - ArranzCNL,name_exact,high,673008,Improved Camera - First Person Animations,1.0.3,MAIN,,folder matches the file name
Improved Camera SE,440,nexus_found,93962,Improved Camera SE,ArranzCNL (uploader TwistedModding),name_exact,high,664197,Improved Camera SE,1.1.2,MAIN,,folder matches the file name
Skyrim Outfit Equipment System NG,443,nexus_found,147011,Skyrim Outfit Equipment System NG,koukibyou,name_exact,high,615397,SkyrimOutfitEquipmentSystemNG,1.0.4,MAIN,SkyrimOutfitEquipmentSystemNG.esp,linked plugin(s) found in this mod's files: SkyrimOutfitEquipmentSystemNG.esp | folder matches the file name
Skyrim Souls RE for Skyrim 1.5,444,nexus_found,120085,Skyrim Souls RE for Skyrim 1.5,Vermunds and Fudgyduff (uploader Fuzzlesz),name_exact,high,809466,Skyrim Souls RE for Skyrim 1.5,3.1.2,MAIN,,folder matches the file name
Skyrim Souls RE - Updated,445,nexus_found,155280,Skyrim Souls RE - Updated - (Fixed),Fudgyduff Vermunds TwistedModding,name_exact,high,650644,Skyrim Souls RE Updated Fixed,1.1.1,MAIN,,match after dropping version/edition tokens | folder matches the file name
Scrolling Speed NG,446,nexus_found,154251,Scrolling Speed NG,Sthaagg Memnochs,name_exact,high,647078,Scrolling Speed NG,2.0.2,MAIN,Scrolling Speed NG.esp,linked plugin(s) found in this mod's files: Scrolling Speed NG.esp | folder matches the file name
Paraglider Replacers 2k-4k,452,nexus_found,108626,Paraglider Replacers 2k-4k,Haladoon,name_exact,high,,,,,,no file name matches the folder; several MAIN files: Paraglider 2k | Paraglider 4k | Paraglider Dawnguard 2k | Paraglider Dawnguard 4k
Additional Pandora Patch For CRC32 Cache,455,nexus_found,132292,SkyParkour v3 - Procedural Parkour and Climbing Framework (SPPF),Tsptds - JellyfishInLoop,name_exact,high,747633,Pandora Animation Cache,3.5.0,MAIN,,folder matches the file's archive name | matched a file of a mod already identified for other folders (second pass)
SkyParkour v3 - Procedural Parkour and Climbing Framework (SPPF) 2.5,456,nexus_found,132292,SkyParkour v3 - Procedural Parkour and Climbing Framework (SPPF),Tsptds - JellyfishInLoop,name_exact,high,,,,,,match after dropping version/edition tokens | no file name matches the folder; several MAIN files: Pandora Animation Cache | SkyParkour V3 - Parkour Framework
Simple Diving System (SDS) - Dive Into Water Animations and Modder Resource,457,nexus_found,154534,Simple Diving System (SDS) - Dive Into Water Animations and Modder Resource,tsptds,name_exact,high,669995,Simple Diving System,1.0.3,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Follower Dialogue Expansion - Ysolda,511,nexus_found,124787,Follower Dialogue Expansion - Ysolda,Anbeegod,name_exact,high,537957,FDE Ysolda,2.0-MOST-UPDATED,MAIN,FDE Ysolda.esp,"no file name matches the folder; the only current MAIN file is suggested | alternatives: (DUBLAGEM PT-BR) Follower Dialogue Expansion - Ysolda (#126032, s=0.97, dl=2319)"
Follower Dialogue Expansion - Illia,512,nexus_found,137845,Follower Dialogue Expansion - Illia,Anbeegod,name_exact,high,719183,FDE Illia,3.0,MAIN,FDE Illia.esp,no file name matches the folder; the only current MAIN file is suggested
Follower Dialogue Expansion - Camilla Valerius,513,nexus_found,128144,Follower Dialogue Expansion - Camilla Valerius,Anbeegod,name_exact,medium,667000,FDE Camilla,2.0.1-MOST-UPDATED,MAIN,FDE Camilla.esp,"another mod has an equally exact name; picked the far more downloaded one | no file name matches the folder; the only current MAIN file is suggested | alternatives: Follower Dialogue Expansion - Camilla Valerius - DE Audio (#128541, s=1.00, dl=1397)"
Follower Dialogue Expansion - Faendal,514,nexus_found,130418,Follower Dialogue Expansion - Faendal,Anbeegod,name_exact,high,733779,FDE Faendal,1.1.1-MOST-UPDATED,MAIN,FDE Faendal.esp,no file name matches the folder; the only current MAIN file is suggested
Immersive Dialogue Expansion - Stormcloaks,515,nexus_ambiguous,178880,REBEL NORTH - Immersive Dialogue Expansion - Stormcloaks,anbeegod,name_fuzzy,low,753949,IDE Stormcloaks,3.0.1-MOST-UPDATED,MAIN,IDE Stormcloaks.esp,"no file name matches the folder; the only current MAIN file is suggested | alternatives: Immersive Dialogue Expansion - Stormcloaks (French) (#168968, s=0.82, dl=81); Immersive Dialogue Expansion - Thalmor (#168432, s=0.80, dl=549244); REBEL NORTH - Immersive Dialogue Expansion - Stormcloaks Es (#180693, s=0.78, dl=240)"
Immersive Dialogue Expansion - Thalmor,516,nexus_found,168432,Immersive Dialogue Expansion - Thalmor,Anbeegod,name_exact,high,788689,IDE Thalmor,1.0.4-LATEST,MAIN,IDE Thalmor.esp,"no file name matches the folder; the only current MAIN file is suggested | alternatives: Immersive Dialogue Expansion - Thalmor VOSTFR (#176259, s=0.90, dl=227)"
Follower Dialogue Expansion - Aela the Huntress,517,nexus_found,114801,Follower Dialogue Expansion - Aela the Huntress,Anbeegod,name_exact,high,722834,FDE Aela,9.0,MAIN,FDE Aela Part 2.esp;FDE Aela.esp,no file name matches the folder; the only current MAIN file is suggested
IDE Jorrvaskr,518,not_found,,,,,,,,,,IDE Jorrvaskr.esp,"closest: JK's Jorrvaskr (#60738, s=0.63, dl=2990326)"
Grapple a1.7,559,non_nexus,,,,manual_hint,medium,,,,,,Grapple alpha build (Patreon/non-Nexus)
anchor animation v2 Part,560,non_nexus,,,,manual_hint,medium,,,,,,Anchor animations (Patreon/non-Nexus)
4-Elden Weapon Arts for Npc 1.4.3,561,nexus_found,65625,Elden Rim - Weapon Arts 3.7.5,black achang (uploader black364),name_exact,high,600771,4-Elden Weapon Arts for Npc 1.4.3,1.4.3,OLD_VERSION,,folder matches the file name | file version matches the version in the folder name | suggested file only exists as OLD_VERSION; current MAIN: 1-Elden Rim-Weapon Art 3.2.6 v3.2.6 (#810521)
3-Elden Rim War Ash Pack03 1.1.5,562,nexus_found,65625,Elden Rim - Weapon Arts 3.7.5,black achang (uploader black364),name_exact,high,710879,3-Elden Rim War Ash Pack03 1.1.5,1.1.5,OLD_VERSION,EldenWarAshPack3.esp,folder matches the file name | file version matches the version in the folder name | suggested file only exists as OLD_VERSION; current MAIN: 1-Elden Rim-Weapon Art 3.2.6 v3.2.6 (#810521)
3-Elden Rim War Ash Pack02 1.5.3,563,nexus_found,65625,Elden Rim - Weapon Arts 3.7.5,black achang (uploader black364),name_exact,high,710878,3-Elden Rim War Ash Pack02 1.5.3,1.5.3,MAIN,EldenWarAshPack2.esp,folder matches the file name | file version matches the version in the folder name
2-Elden Rim War Ash Pack01 1.7.9,564,nexus_found,65625,Elden Rim - Weapon Arts 3.7.5,black achang (uploader black364),name_exact,high,710888,2-Elden Rim War Ash Pack01 1.7.9,1.7.9,OLD_VERSION,EldenWarAshPack1.esp,folder matches the file name | file version matches the version in the folder name | suggested file only exists as OLD_VERSION; current MAIN: 1-Elden Rim-Weapon Art 3.2.6 v3.2.6 (#810521)
1-Elden Rim-Weapon Art 3.2.2,565,nexus_found,65625,Elden Rim - Weapon Arts 3.7.5,black achang (uploader black364),name_exact,high,726607,1-Elden Rim-Weapon Art 3.2.2,3.2.2,OLD_VERSION,EldenSkyrim_RimSkills.esp,folder matches the file name | file version matches the version in the folder name | suggested file only exists as OLD_VERSION; current MAIN: 1-Elden Rim-Weapon Art 3.2.6 v3.2.6 (#810521)
Elden Rim - Base 3.72,566,nexus_found,65625,Elden Rim - Weapon Arts 3.7.5,black achang (uploader black364),name_exact,high,722819,0-Elden Rim-Base 3.7.2,3.7.2,OLD_VERSION,EldenSkyrim.esp;KeyTraceForEldenRim.esp,match after dropping version/edition tokens | other files match equally well: 0-Elden Rim-Base 3.7.5 | folder matches the file name | file version matches the version in the folder name | suggested file only exists as OLD_VERSION; current MAIN: 1-Elden Rim-Weapon Art 3.2.6 v3.2.6 (#810521) | matched a file of a mod already identified for other folders (second pass)
01 Rim Parry Elden Rim_patch,567,nexus_found,114366,Rim Parry and Execution,SHADOWPQ,name_exact,high,499428,01 Rim Parry Elden Rim_patch,v1.1,MAIN,RPER_patch.esp,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
Rim Parry and Execution v1.1 CTD fix,568,nexus_found,143312,Rim Parry and Execution v1.1 CTD fix,shadowPQ (uploader sayakuso),name_exact,high,600715,Rim Parry and Execution v1.1 CTD fix,v1.1,MAIN,RimExecutionHitSA.esp,folder matches the file name | file version matches the version in the folder name
Hogwarts in Skyrim,569,nexus_found,70654,Hogwarts in Skyrim,lSmoothl,name_exact,high,491375,Hogwarts in Skyrim,3.2,MAIN,Dovapotter.esp,folder matches the file name
Rim Parry and Execution,570,nexus_found,114366,Rim Parry and Execution,SHADOWPQ,name_exact,high,485245,00 Rim Parry and Execution,v1.0,OLD_VERSION,RimExecutionHitSA.esp,folder matches the file name | suggested file only exists as OLD_VERSION; current MAIN: 01 Rim Parry Elden Rim_patch vv1.1 (#499428)
Dynamic Bloodpool Framework - Latest Version,582,nexus_found,172080,Dynamic Bloodpool Framework,Seb263,name_exact,high,799428,Dynamic Bloodpool Framework - Latest Version,1.1.1,MAIN,,folder matches the file name
Sanguine Symphony - Latest Version,585,nexus_found,148388,Sanguine Symphony,Seb263,name_exact,high,799454,Sanguine Symphony - Latest Version,1.3.5,MAIN,Sanguine Symphony.esp,linked plugin(s) found in this mod's files: Sanguine Symphony.esp | folder matches the file name
Dismembering Framework - Wolves of Skyrim,590,not_found,,,,,,,,,,,"closest: Dismembering Framework (#126203, s=0.65, dl=4226365)"
Dismembering Framework - 4thUnknown Trolls,591,nexus_ambiguous,126203,Dismembering Framework,Seb263,name_fuzzy,low,799424,Dismembering Framework - Latest Version,1.2.3,MAIN,,"mod flagged adult content | no file name matches the folder; the only current MAIN file is suggested | alternatives: Dismembering Framework PT-BR (#146724, s=0.63, dl=728)"
The Restless Dead - At Your Own Pace Patch,623,nexus_ambiguous,66802,Sofia - At Your Own Pace Patch,Wartortle,name_fuzzy,low,278377,Sofia - At Your Own Pace Patch,1.0.0,MAIN,,"no file name matches the folder; the only current MAIN file is suggested | alternatives: At Your Own Pace - Scion Patch (#97288, s=0.68, dl=42759); The Restless Dead - Skeletons SE Patch (#125609, s=0.68, dl=15040); The Restless Dead - Believable Weapons Patch (#112755, s=0.63, dl=164805)"
Fanatical Enemies Form 44 Conversion,626,nexus_found,169189,Fanatical Enemies Form 44 Conversion,thelonelyones,name_exact,high,707094,Fanatical Enemies Form 44,1.0,MAIN,,folder matches the file name
Bow Rapid Combo V3 - Settings Loader,654,nexus_found,92696,Bow Rapid Combo V3 - Settings Loader,MaskedRPGFan,name_exact,high,394970,Bow Rapid Combo V3 - Settings Loader,1.0.1,MAIN,,folder matches the file name
Bow Rapid Combo V3,655,nexus_found,89308,Bow Rapid Combo V3 - Archer Combat Overhaul,lSmoothl,name_exact,high,481096,Bow Rapid Combo v3,1.9.6,MAIN,BowRapidCombo.esp,"linked plugin(s) found in this mod's files: BowRapidCombo.esp | folder matches the file name | alternatives: Rapid Bow Combo V3 (#156578, s=0.89, dl=169)"
Page's SmoothCam Preset,708,nexus_found,189799,Page's SmoothCam Preset,page804,name_exact,high,798565,Page'S SmoothCam Preset,1,MAIN,,folder matches the file name
ZeusCam - A Next Gen Cinematic SmoothCam Preset,710,nexus_found,85183,ZeusCam - A Next Gen Cinematic SmoothCam Preset,Javier - ZeusCP,name_exact,high,419906,SmoothCam Zeus Next Gen preset V3.0,3.0,MAIN,,no file name matches the folder; the only current MAIN file is suggested
(EXPERIMENTAL) Core Impact Framework - Version 2.0,717,nexus_found,146873,Core Impact Framework (CIF),Seb263,name_exact,high,801478,Core Impact Framework - Latest Version,2.0.7,MAIN,,folder matches the file name | file version matches the version in the folder name
Malignis Animations - BiSR - Dirt and Blood Patch,779,nexus_found,166293,Malignis Animations - BiSR - Dirt and Blood Patch,Lalup (uploader LalupK),name_exact,high,,,,,Dirt and Blood - Malignis Animations Patch.esp,linked plugin(s) found in this mod's files: Dirt and Blood - Malignis Animations Patch.esp | mod flagged adult content | no file name matches the folder; several MAIN files: Malignis Animations - BiSR DnB Patch | Malignis Animations - BiSR DnB Patch - Women Only | Malignis Animations - BiSR DnB Patch Expanded
True Flasks NG,814,nexus_found,170374,True Flasks NG,Newrite - Zodiac - Magnum,name_exact,high,798850,True Flasks NG,1.2.7,MAIN,TrueFlasks.esp;TrueFlasks - Restore Duration.esp;TrueFlasks - Upgradable Flasks.esp,linked plugin(s) found in this mod's files: TrueFlasks.esp | folder matches the file name
RaySense - Jumping over obstacles2,925,nexus_found,175506,RaySense - Jumping over obstacles,lSmoothl,name_exact,high,734778,RaySense - Jumping Over Obstacles,1.0,MAIN,,folder matches the file name
Beam Walking Assist2,929,nexus_found,175511,Beam Walking Assist,lSmoothl,name_exact,high,797397,Beam Walking Assist,1.4.0,MAIN,Beam Walk.esp,"folder matches the file name | alternatives: Beam Walking Assist - 1st (#175499, s=0.88, dl=96360)"
EVG Animation Variance,931,nexus_found,38534,EVG Animation Variance,Everglaid,name_exact,high,269316,EVG Animation Variance 1.1,1.1,MAIN,,folder matches the file name
Conditional Expressions Extended2,948,nexus_found,91438,Conditional Expressions Extended,crajj,name_exact,high,803342,Conditional Expressions Extended,2.3.0,MAIN,,folder matches the file name
Conditional Expressions - Subtle Face Animations,949,nexus_found,45148,Conditional Expressions - Subtle Face Animations,JaySerpa,name_exact,high,655975,Conditional Expressions,1.29,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Immersive Interactions - Animated Actions 2,975,nexus_found,47670,Immersive Interactions - Animated Actions,JaySerpa,name_fuzzy,medium,536423,Immersive Interactions - Animated Actions,1.78,MAIN,,folder matches the file name
Daughter of Coldharbour - Reimplemented,991,nexus_found,126846,Daughter of Coldharbour - Reimplemented,naChooey and Chimbellda,name_exact,high,541533,Daughter of Coldharbour - Reimplemented,1.2.1,MAIN,DaughterOfColdharbourReimplemented.esp,linked plugin(s) found in this mod's files: DaughterOfColdharbourReimplemented.esp | folder matches the file name
JellyFish Crouch Sliding animations,1045,nexus_found,162771,JellyFish Crouch Sliding animations,JellyFishInLoop,name_exact,high,680609,JellyFish Crouch Sliding,1.0,MAIN,,folder matches the file name
Crouch Sliding Shorter Distance,1046,nexus_found,39157,Crouch Sliding,NickNak (uploader NickaNak),name_exact,high,716260,Crouch Sliding Shorter Distance,2.2,OPTIONAL,,folder matches the file name
Crouch Sliding Quiter Slide,1047,nexus_found,39157,Crouch Sliding,NickNak (uploader NickaNak),name_exact,high,716261,Crouch Sliding Quiter Slide,2.2,OPTIONAL,,folder matches the file name
Crouch Sliding 2.21,1048,nexus_found,39157,Crouch Sliding,NickNak (uploader NickaNak),name_exact,high,721241,Crouch Sliding 2026,2.21,MAIN,SprintSlide.esp,match after dropping version/edition tokens | folder matches the file name | file version matches the version in the folder name
For Honor in Skyrim Black Prior,1097,non_nexus,,,,manual_hint,medium,,,,,,For Honor in Skyrim armor (non-Nexus)
For Honor in Skyrim Nobushi,1098,nexus_found,75790,For Honor in Skyrim I Nobushi,lSmoothl,name_fuzzy,medium,394074,For Honor in Skyrim I Nobushi,1.4,MAIN,,folder matches the file name
Smooth Special Idle,1099,not_found,,,,,,,,,,,"closest: Smug Selfie Idle (#82092, s=0.48, dl=1061)"
CBPC Equipment physics - Real Tight config,1208,nexus_found,108736,CBPC Equipment physics - Real Tight config,Shizof - Hjartulv,name_exact,high,459129,CBPC - Real Tight config,1.0.0,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Faster HDT-SMP 4.01,1210,nexus_found,57339,FSMP - Faster HDT-SMP,Too long - see credits in description (uploader DaydreamingDay),name_exact,high,550156,Faster HDT-SMP,2.5.1,MISCELLANEOUS,,"match after dropping version/edition tokens | folder matches the file name | alternatives: FSMP - Faster HDT-SMP 1.6.353 Fix - Installer (#76603, s=0.85, dl=16543)"
Pandora Behaviour Engine v4.3.1-beta,1211,nexus_found,133232,Pandora Behaviour Engine Plus,Pandora Behaviour Engine Team (uploader Monitor221hz),name_exact,high,742625,Pandora Behaviour Engine v4.3.1-beta,v4.3.1-beta,OLD_VERSION,,folder matches the file name | file version matches the version in the folder name | suggested file only exists as OLD_VERSION; current MAIN: Pandora Behaviour Engine v4.4.0-beta vv4.4.0-beta (#788583)
Whiterun 3D stone walls,1262,nexus_found,139069,Whiterun 3D stone walls,Chiselsky,name_exact,high,743637,Whiterun 3D Stone Walls,1.7,MAIN,,folder matches the file name
Whiterun City Walls - Collision Redone,1264,nexus_found,163348,Whiterun City Walls - Collision Redone,sevnce (uploader sevnces),name_exact,high,682731,Whiterun City Walls - Collision Redone,1.0,MAIN,,folder matches the file name
HFs - Whiterun bridges REDONE,1278,nexus_found,158471,HFs - Whiterun bridges REDONE,Halffaces,name_exact,high,664921,HFs - Whiterun bridges REDONE (ESP) - 4K,1.1,MAIN,,other files match equally well: HFs - Whiterun bridges REDONE (ESP) - 1K | HFs - Whiterun bridges REDONE (ESP) - 2K | HFs - Whiterun bridges REDONE - 1K | folder matches the file name
Grand Solitude - High Quality Ivy Consistency,1289,nexus_found,161140,Grand Solitude - High Quality Ivy Consistency,Cthelo,name_exact,high,674238,Grand Solitude - High Quality Ivy Consistency,1.01,MAIN,Grand Solitude - Hiqh Quality Ivy.esp,folder matches the file name
Ancient City of Markarth no Worldspace edits,1294,nexus_found,157277,Ancient City of Markarth,knightradiant2,name_fuzzy,medium,704138,ACoM - No Tamriel Worldspace Edits,1.0.2,OPTIONAL,Ancient City of Markarth.esp,folder matches '<mod name> <file name>'
Ancient City of Markarth,1295,nexus_found,157277,Ancient City of Markarth,knightradiant2,name_exact,high,760717,Ancient City of Markarth,1.0.3,MAIN,Ancient City of Markarth.esp;Ancient City of Markarth Lux Orbis Patch.esp,linked plugin(s) found in this mod's files: Ancient City of Markarth.esp | folder matches the file name
Skurkbro's Retexture Project - Dwemer Pipe Patch,1296,not_found,,,,,,,,,,,no close name match
Skurkbro's Retexture Project - Markarth and Dwemer Ruins ( Complex Material ),1297,nexus_found,69370,Skurkbro's Retexture Project - Markarth and Dwemer Ruins ( Complex Material ),Skurkbro,name_exact,high,,,,,,"no file name matches the folder; several MAIN files: SRP Markarth and Dwemer Ruins 1K | SRP Markarth and Dwemer Ruins 2K | SRP Markarth and Dwemer Ruins 4K | alternatives: Skurkbro's Retexture Project - Markarth and Dwemer Ruins ( PBR ) (#168541, s=0.93, dl=3665)"
JS Dragon Claws AE Anniversary Edition 2,1367,nexus_found,57038,JS Dragon Claws AE (Anniversary Edition),johnskyrim,name_fuzzy,medium,277544,JS Dragon Claws AE Anniversary Edition - 4k,1.3,ARCHIVED,,folder matches the file name | suggested file only exists as ARCHIVED; current MAIN: JS Dragon Claws AE - 1k Textures v1.32 (#522298)
Swans - SE by Xtudo - Tweaked ESP,1519,nexus_found,155108,Swans - My patches SE by Xtudo,Author Mihail - My patches by Xtudo,name_exact,high,648311,Swans - SE by Xtudo - Tweaked ESP,1,MAIN,mihailswans.esp,folder matches the file name
Swans - SE by Xtudo - Textures 2K,1520,nexus_found,155108,Swans - My patches SE by Xtudo,Author Mihail - My patches by Xtudo,name_exact,high,648310,Swans - SE by Xtudo - Textures 2K,1,MAIN,,folder matches the file name
Swans- Mihail Monsters and Animals (SE-AE),1521,nexus_found,154726,Swans- Mihail Monsters and Animals (SE-AE),Mihail (uploader MihailMods),name_exact,high,646642,swans (se-ae),1,MAIN,mihailswans.esp,no file name matches the folder; the only current MAIN file is suggested
Wolves of Skyrim - Wolf Pelts,1523,nexus_ambiguous,68069,Wolves of Skyrim - wolf texture and mesh replacer,Horn,name_fuzzy,low,285646,Wolves Of Skyrim  FOMOD,2.1,MAIN,,"no file name matches the folder; the only current MAIN file is suggested | alternatives: Wolf Pups for Wolves of Skyrim (#93657, s=0.64, dl=2678)"
Wolves of Skyrim,1524,nexus_found,68069,Wolves of Skyrim - wolf texture and mesh replacer,Horn,name_fuzzy,medium,285646,Wolves Of Skyrim  FOMOD,2.1,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Fluffworks - Cow Calves Patch,1541,nexus_found,64445,Fluffworks - Auto Patches,Various (uploader SkySinclaire),name_exact,high,579529,Fluffworks - Cow Calves Patch,2.0,OPTIONAL,,folder matches the file name
Draugrs - PBR 4K,1619,nexus_found,172664,Draugrs - PBR,Mandragorasprouts - tmwd,name_exact,high,789576,Draugrs - PBR 4K,2.0,MAIN,,folder matches the file name
Fluffworks - MM Real Elks Patch,1631,nexus_found,64445,Fluffworks - Auto Patches,Various (uploader SkySinclaire),name_exact,high,267726,Fluffworks - MM Real Elks Patch,1.0,MISCELLANEOUS,,folder matches the file name
MM - REAL ELKS,1637,nexus_found,41929,MM - REAL ELKS,MassiveMaster (uploader rickard),name_exact,high,191787,MM REAL ELKS 4K,1.0.1,MAIN,,other files match equally well: MM REAL ELKS 1K | MM REAL ELKS 2K | folder matches the file name
Curious Adventurer,1831,non_nexus,,,,manual_hint,medium,,,,,Curious Adventurer.esp,Curious Adventurer (non-Nexus)
DOMINION - HDT SMP Patch,1902,nexus_found,188421,DOMINION - New Thalmor Armors and Weapons,LeiteUHT,name_exact,high,792911,DOMINION - HDT SMP Patch,1,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
DOMINION - New Thalmor Armors and Weapons,1903,nexus_found,188421,DOMINION - New Thalmor Armors and Weapons,LeiteUHT,name_exact,high,792908,DOMINION   New Thalmor Armors And Weapons,1,MAIN,LEITEUHTThalmor.esp,folder matches the file name
full_inu Armor Pack 01 SPID Distribution,1904,nexus_found,161148,full_inu Armor Pack 01 SPID Distribution,H3LLWINE - full_inu,name_exact,high,674117,full_inu Armor Pack 01 SPID,1,MAIN,full_inu ArmorPack01 SPID.esp,folder matches the file name
Knight-Herald - HDT-SMP - Vanilla - CBBE 3BA - Optional PBR,1905,nexus_found,145321,Knight-Herald - HDT-SMP - Vanilla - CBBE 3BA - Optional PBR,Mykolaev,name_exact,high,,,,,knightherald.esp,no file name matches the folder; several MAIN files: Knight-Herald armor set 4K-2K res - CBBE 3BA | Knight-Herald armor set 4K-2K res - Vanilla body | Knight-Herald armor set PBR - CBBE 3BA
[full_inu] Armor Pack 01 SSE,1906,non_nexus,,,,manual_hint,medium,,,,,[full_inu] Armor Pack 01.esp,"full_inu armor pack (Patreon/non-Nexus) | check: Nexus has a similarly named page 'full_inu Armor Pack 01 SPID Distribution' (#161148, medium name match)"
Shattered Royal Armor,1907,nexus_found,183637,Shattered Royal Armor (Fragile)  SMP 3BA  UBE,Aokili and Nandamonaiya,name_exact,high,769101,Shattered Royal Armor,1.4,MAIN,ShatteredRoyalArmor.esp,linked plugin(s) found in this mod's files: ShatteredRoyalArmor.esp | mod flagged adult content | folder matches the file name
