folder,target_line,category,nexus_mod_id,nexus_mod_name,nexus_author,match_method,confidence,suggested_file_id,suggested_file_name,suggested_file_version,file_category,related_plugins,notes
Shattered Royal Armor PBR 4k,133,nexus_found,183637,Shattered Royal Armor (Fragile)  SMP 3BA  UBE,Aokili and Nandamonaiya,name_exact,high,768317,Shattered Royal Armor PBR 4k,1,OPTIONAL,,mod flagged adult content | folder matches the file name | matched a file of a mod already identified for other folders (second pass)
GoW Guardian Shield - Spellbreaker Replacer,134,nexus_found,92378,GoW Guardian Shield - Spellbreaker Replacer,Circonianas,name_exact,high,392812,GOW - Guardian Shield - Spellbreaker Replacer,1.1,MAIN,,folder matches the file name
Dark Apprentice - PBR,135,nexus_found,171845,Dark Apprentice - PBR,Addi (uploader Addidi),name_exact,high,718013,Dark Apprentice - PBR,1.0,MAIN,,folder matches the file name
Snazzy Resources and SCFO PBR Conversion,136,nexus_found,174749,Snazzy Resources and SCFO PBR Conversion,Julio005,name_exact,high,,,,,,no file name matches the folder; several MAIN files: Snazzy Bookcases   Base Object Swapper PBR | Snazzy Furniture And Clutter Overhaul PBR | Snazzy Location Resources PBR | Snazzy Resources And SFCO Combo PBR
Solitude and Temple Frescoes - PBR and Light Placer,137,nexus_found,176597,Solitude and Temple Frescoes - PBR and Light Placer,Addi (uploader Addidi),name_exact,high,738942,Solitude Temple Frescoes - PBR,1.0,MAIN,,no file name matches the folder; the only current MAIN file is suggested
RMS Lux patch,138,nexus_ambiguous,80934,Lazy Lux Patches,eberkain,name_fuzzy,low,,,,,SDA - UnLux.esp,"no file name matches the folder; several MAIN files: Aethernautics UnLux Patch | Brotherhood of Old UnLux Patch | Dark Arts Un-Lux Patch | FryManor UnLux Patch | alternatives: Unofficial Lux Patches (#62550, s=0.62, dl=1007214)"
SKYKLF Modular Whiterun Resources PBR Conversion,139,nexus_found,177322,SKYKLF Modular Whiterun Resources PBR Conversion,Julio005,name_exact,high,,,,,,no file name matches the folder; several MAIN files: Whiterun Temple Bench Replacer PBR | XX SKYKLFS MODULAR WR RESOURCES XX PBR Refined | XX SKYKLFS RESOURCES XX PBR (Original Quality)
Lunar Guard Armor - PBR,140,nexus_found,162358,Lunar Guard Armor - PBR,Deydranos and tmwd,name_exact,high,723167,Lunar Guard Armor - Silver - PBR,1.1,MAIN,,folder matches the file name
ErdtreeGildergreen - PBR 2.0,141,not_found,,,,,,,,,,,"closest: Silverguard - PBR (#148440, s=0.52, dl=5939)"
Obi's Cimmerian - PBR,142,nexus_found,157665,Obi's Cimmerian - PBR,Obicnii and tmwd,name_exact,high,658806,Obi's Cimmerian - PBR,1.0,MAIN,,folder matches the file name
Cimmerian Armor 3BA - SMP Bodyslides,143,nexus_found,135392,Obi's Cimmerian 3BA  BHUNP SMP 4K,Obicnii,name_exact,high,574476,Cimmerian Armor 3BA - SMP Bodyslides,1.1,UPDATE,,mod flagged adult content | folder matches the file name
Obi's Cimmerian 3BA BHUNP SMP 4K,144,nexus_found,135392,Obi's Cimmerian 3BA  BHUNP SMP 4K,Obicnii,name_exact,high,568319,Cimmerian Armor 3BA,1.0,MAIN,,mod flagged adult content | no file name matches the folder; the only current MAIN file is suggested
RUSTIC SOULGEMS - Special Edition,146,nexus_found,5785,RUSTIC SOULGEMS - Special Edition,Gamwich and Saerileth,name_exact,high,12944,RUSTIC SOULGEMS - Special Edition - 1K Sorted,1.0,MAIN,,other files match equally well: RUSTIC SOULGEMS - Special Edition - 2K Sorted | folder matches the file name
Faultier's PBR Windows,147,not_found,,,,,,,,,,,"closest: Lux - Faultier's PBR Windows Shadow mask fix (#170443, s=0.64, dl=1315)"
Faultier's PBR Road Signs,148,not_found,,,,,,,,,,,"closest: Weathered Road Signs (#10180, s=0.53, dl=195018)"
Unslaad PBR,149,not_found,,,,,,,,,,,"closest: Unslaad Lift (#147685, s=0.50, dl=7912)"
Wicky's Solitude PBR,150,nexus_found,172523,Wicky's Solitude PBR,wicky (uploader wickytheuser),name_exact,high,721682,Wicky's Solitude pbr,1.1,UPDATE,,folder matches the file name
Riton's PBR fort dawnguard,151,nexus_found,159315,Riton's PBR fort dawnguard,RiToN (uploader riton67000),name_exact,high,666199,Riton's PBR fort dawnguard 4k,1.0,MAIN,,other files match equally well: Riton's PBR fort dawnguard 2k | folder matches the file name
Nirn Necessities PBR,152,nexus_found,135807,Nirn Necessities PBR,Everglaid and Jiaye (uploader jiayev),name_exact,high,569945,Nirn Necessities PBR,1.0,MAIN,,folder matches the file name
Modern Hay - PBR and CM,153,nexus_found,155815,Modern Hay - PBR and CM,Exist (uploader RealExist),name_exact,high,,,,,,no file name matches the folder; several MAIN files: Modern Hay CM 1k | Modern Hay CM 2k | Modern Hay CM 4k | Modern Hay PBR 1k
Jiaye's Vigilant PBR AIO,154,nexus_found,167174,GTS - PBR Visual Overhaul - Resource Repository,kiza054,name_exact,high,728431,PBR for GTS - Jiaye's Vigilant PBR AIO,1.0,ARCHIVED,Jiaye's Vigilant PBR.esp,linked plugin(s) found in this mod's files: Jiaye's Vigilant PBR.esp | folder matches the file's archive name | suggested file only exists as ARCHIVED; current MAIN: GTS - PBR VO - Visual Animated Enchants Reborn AE v1.0 (#801773)
clockwork pbr,155,not_found,,,,,,,,,,,"closest: Clockwork (SSE) (#4155, s=0.64, dl=3462027)"
Forgotten Princess - PBR,156,nexus_found,163679,Forgotten Princess - PBR,Addi (uploader Addidi),name_exact,high,694398,Forgotten Princess - PBR,1.2,MAIN,,mod flagged adult content | folder matches the file name
Children of the North Wind - PBR,158,nexus_ambiguous,78283,Children of the North,lilson,name_fuzzy,low,368667,Children of the North,final,MAIN,,"no file name matches the folder; the only current MAIN file is suggested | alternatives: Children of the North Wind - Ruins of the Ancient Nords (French) (#149352, s=0.67, dl=1013); Children of the North Wind - Official Patch Collection (#169780, s=0.64, dl=22696); Children of the North Wind - Kanjs glow patched (#150379, s=0.63, dl=6922)"
PBR textures for The Great Cities Collection,159,nexus_found,133493,PBR textures for The Great Cities Collection,jepster,name_exact,high,571460,PBR textures for The Great Cities,4.2.1,MAIN,,folder matches the file name
